C,gamma,kernel,accuracy,recall,model_type,n_estimators,max_depth,learning_rate
0.001,0.001,rbf,0.6079836233367452,0.0,SVM,,,
0.001,1.112,rbf,0.6079836233367452,0.0,SVM,,,
0.001,2.223,rbf,0.6079836233367452,0.0,SVM,,,
0.001,3.334,rbf,0.6079836233367452,0.0,SVM,,,
0.001,4.445,rbf,0.6079836233367452,0.0,SVM,,,
0.001,5.556,rbf,0.6079836233367452,0.0,SVM,,,
0.001,6.667000000000001,rbf,0.6079836233367452,0.0,SVM,,,
0.001,7.778,rbf,0.6079836233367452,0.0,SVM,,,
0.001,8.889,rbf,0.6079836233367452,0.0,SVM,,,
0.001,10.0,rbf,0.6079836233367452,0.0,SVM,,,
1.112,0.001,rbf,0.7523029682702149,0.4830287206266319,SVM,,,
1.112,1.112,rbf,0.6079836233367452,0.0,SVM,,,
1.112,2.223,rbf,0.6079836233367452,0.0,SVM,,,
1.112,3.334,rbf,0.6079836233367452,0.0,SVM,,,
1.112,4.445,rbf,0.6079836233367452,0.0,SVM,,,
1.112,5.556,rbf,0.6079836233367452,0.0,SVM,,,
1.112,6.667000000000001,rbf,0.6079836233367452,0.0,SVM,,,
1.112,7.778,rbf,0.6079836233367452,0.0,SVM,,,
1.112,8.889,rbf,0.6079836233367452,0.0,SVM,,,
1.112,10.0,rbf,0.6079836233367452,0.0,SVM,,,
2.223,0.001,rbf,0.7727737973387923,0.5248041775456919,SVM,,,
2.223,1.112,rbf,0.6079836233367452,0.0,SVM,,,
2.223,2.223,rbf,0.6079836233367452,0.0,SVM,,,
2.223,3.334,rbf,0.6079836233367452,0.0,SVM,,,
2.223,4.445,rbf,0.6079836233367452,0.0,SVM,,,
2.223,5.556,rbf,0.6079836233367452,0.0,SVM,,,
2.223,6.667000000000001,rbf,0.6079836233367452,0.0,SVM,,,
2.223,7.778,rbf,0.6079836233367452,0.0,SVM,,,
2.223,8.889,rbf,0.6079836233367452,0.0,SVM,,,
2.223,10.0,rbf,0.6079836233367452,0.0,SVM,,,
3.334,0.001,rbf,0.7809621289662231,0.5430809399477807,SVM,,,
3.334,1.112,rbf,0.6079836233367452,0.0,SVM,,,
3.334,2.223,rbf,0.6079836233367452,0.0,SVM,,,
3.334,3.334,rbf,0.6079836233367452,0.0,SVM,,,
3.334,4.445,rbf,0.6079836233367452,0.0,SVM,,,
3.334,5.556,rbf,0.6079836233367452,0.0,SVM,,,
3.334,6.667000000000001,rbf,0.6079836233367452,0.0,SVM,,,
3.334,7.778,rbf,0.6079836233367452,0.0,SVM,,,
3.334,8.889,rbf,0.6079836233367452,0.0,SVM,,,
3.334,10.0,rbf,0.6079836233367452,0.0,SVM,,,
4.445,0.001,rbf,0.7901740020470829,0.556135770234987,SVM,,,
4.445,1.112,rbf,0.6079836233367452,0.0,SVM,,,
4.445,2.223,rbf,0.6079836233367452,0.0,SVM,,,
4.445,3.334,rbf,0.6079836233367452,0.0,SVM,,,
4.445,4.445,rbf,0.6079836233367452,0.0,SVM,,,
4.445,5.556,rbf,0.6079836233367452,0.0,SVM,,,
4.445,6.667000000000001,rbf,0.6079836233367452,0.0,SVM,,,
4.445,7.778,rbf,0.6079836233367452,0.0,SVM,,,
